brand,model,img_url,2014_jan,2014_feb,2014_mar,2014_apr,2014_may,2014_jun,2014_jul,2014_aug,2014_sep,2014_oct,2014_nov ,2014_dec,2015_jan,2015_feb,2015_mar,2015_apr,2015_may,2015_jun,2015_jul,2015_aug,2015_sep,2015_oct,2015_nov ,2015_dec,2016_jan,2016_feb,2016_mar,2016_apr,2016_may,2016_jun,2016_jul,2016_aug,2016_sep,2016_oct,2016_nov ,2016_dec,2017_jan,2017_feb,2017_mar,2017_apr,2017_may,2017_jun,2017_jul,2017_aug,2017_sep,2017_oct,2017_nov ,2017_dec
Apple,iPad Pro 12.9,https://cdn2.gsmarena.com/vv/bigpic/apple-ipad-pro-129-2017.jpg,11813,14466,9512,12558,13951,9997,7584,9701,6197,9651,6856,13462,10551,5401,13936,12633,11124,9447,12413,7697,13451,13549,9613,9681,5550,5499,10136,11525,8588,10583,6173,11181,12909,10320,11848,5545,12506,13421,11154,13022,7437,10702,11661,9954,6039,10653,14338,8806
Apple,iPad Pro 10.5,https://cdn2.gsmarena.com/vv/pics/apple/apple-ipad-pro-105-2017-2.jpg,6607,10730,9305,13783,13222,6106,13692,6068,8091,7367,14679,9471,7213,8435,5038,14033,6820,12745,13606,11482,11906,8566,7575,14387,11216,10338,9897,6081,13328,12488,8493,10750,6516,6972,6575,6828,11269,7694,7138,13451,11167,11209,7023,13424,8099,13884,13962,14519
Apple,iPad 9.7,https://cdn2.gsmarena.com/vv/bigpic/apple-ipad-97-2018.jpg,13659,10621,11035,9852,14040,12072,10638,7129,10696,9987,14889,13329,10921,8591,10796,7266,6889,11839,11993,13177,8486,6900,13445,10191,13381,13268,14341,7786,5124,6894,9385,5248,14500,13334,5941,12668,6232,7642,5253,14671,5575,9082,8185,5839,10795,6640,14424,13879
Apple,Watch Series 2 42mm,https://cdn2.gsmarena.com/vv/bigpic/apple-watch2-s2-42mm.jpg,8142,10957,13720,10807,11676,7273,8098,8745,9977,9640,14933,7080,13213,9235,12235,7514,6897,9311,5073,6241,14335,5399,13010,6202,10858,8202,12065,11159,9253,9474,6059,8061,14071,5558,9883,10985,6309,9619,5336,6610,8506,14824,10250,12561,8990,11198,8511,7881
Apple,Watch Series 2 38mm,https://cdn2.gsmarena.com/vv/bigpic/apple-watch2-s2-sport-38mm.jpg,6990,8318,12549,11048,11231,12434,12165,8332,5224,14781,13298,12784,11859,9073,11311,7911,9704,12622,9883,5704,5279,12140,8874,5473,11929,5923,9413,7643,8471,6642,7670,6310,13547,11073,10416,5878,13889,12572,11387,14839,5730,6942,11210,8361,7087,13700,9292,11664
Apple,iPhone 7 Plus,https://cdn2.gsmarena.com/vv/pics/apple/apple-iphone-7-plus-5.jpg,10236,5230,8530,10881,9888,6270,14057,14666,13459,7727,11829,14544,10471,8612,12031,10993,9128,14280,5702,7465,12789,7136,5784,11268,5470,8415,7364,12457,5369,5143,6520,10587,6953,6679,6669,9720,13599,10559,9241,13731,7738,8850,7263,9800,11790,6118,10830,9983
Apple,iPhone 7,https://cdn2.gsmarena.com/vv/pics/apple/apple-iphone-7-red1.jpg,8726,7474,11359,6682,7173,9144,11625,12913,14089,10109,8227,11405,14247,8530,5175,11814,14608,7797,12039,11790,10854,11737,5493,14189,9742,14102,12706,5397,5655,5138,11589,12789,6938,9984,6576,5817,14476,12707,13103,6739,12328,7425,13860,13733,5227,9551,10250,14687
Apple,iPad Pro 9.7,https://cdn2.gsmarena.com/vv/bigpic/apple-ipad-pro-97.jpg,9903,5934,11247,13986,14338,10496,12089,10082,12202,7139,9412,11913,5851,10095,11570,12897,14117,13028,12978,8361,11083,10514,7356,7899,11971,13351,7884,11801,13583,6773,11100,8855,7504,9830,11426,6899,5195,14458,11886,8996,11519,9853,12017,10893,13922,9259,7768,12628
Apple,iPhone SE,https://cdn2.gsmarena.com/vv/pics/apple/apple-iphone-se-1.jpg,5877,6411,8715,11449,7462,12525,14023,10877,5142,8741,13953,13092,9386,13900,11576,10292,13356,14452,6707,14899,6698,5982,6361,6466,11365,14094,9875,13082,12316,9639,10750,14665,12287,9991,12906,13913,8213,6348,10616,11778,5084,8976,10924,11522,14920,6438,9790,6954
Apple,iPhone 6s Plus,https://cdn.gsmarena.com/imgroot//reviews/15/apple-iphone-6s-plus/gal/-1024x768w1/gsmarena_003.jpg,14568,14124,8747,8517,8356,9669,6481,7808,11703,11788,13253,6379,6985,11469,10222,6727,14056,5250,8844,5876,8311,12721,7350,6993,8400,13456,5127,8322,13977,7791,9099,7243,7712,11681,13040,9235,11870,8306,13118,7867,7482,10901,14980,5060,8693,14599,8937,10973
